title,youtube_id,keyword,standard_domain,standard_cluster,grade,Jurisdiction Hierarchy 2
Angles (part 2),zrqzG6xKa1A,CC.4.MD.5,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,Geometry
Introduction to angles,2439OIVBgPg,CC.4.MD.5,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,Geometry
Angles (part 2),zrqzG6xKa1A,CC.4.MD.5.a,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,Geometry
Angles (part 2),zrqzG6xKa1A,CC.4.MD.5.b,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,Geometry
,#N/A,CC.4.MD.6,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,
,#N/A,CC.4.MD.7,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,4,
,#N/A,CC.4.NBT.1,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,
,#N/A,CC.4.NBT.2,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,
Multiplying Whole Numbers and Applications 4,tx2Niw7aJJ8,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding to Estimate Sums 2,j21X53Rwqt4,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding to Estimate Differences,XBarsXzUtuE,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding to Estimate Sums,lNfZQNWZklI,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding Whole Numbers 1,_qzs1zozTBo,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding Whole Numbers 2,fh8gkPW_6g4,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Rounding Whole Numbers 3,3jBfLaLrk6I,CC.4.NBT.3,Number and Operations in Base Ten,Generalize place value understanding for multi-digit whole numbers.,4,Developmental Math
Addition 4,fOXo4p4WDKM,CC.4.NBT.4,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Multiplication 7: Old video giving more examples,_k3aWF6_b4w,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Lattice Multiplication,gS6TfWUv97I,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Multiplication 5:  2-digit times a 2-digit number,t8m0NalQtEk,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Why Lattice Multiplication Works,S3z4XqC_YSc,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Multiplication 6: Multiple digit numbers,#NAME?,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Developmental Math
Multiplying Whole Numbers and Applications 4,tx2Niw7aJJ8,CC.4.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Developmental Math
Level 4 Division,gHTH6PKfpMc,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Division 2,8Ft5iHhauJ0,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Division 1,MTzTqvzWzm8,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Division 3: More long division and remainder examples,NcADzGz3bSI,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Arithmetic
Dividing Whole Numbers and Applications 1,4I9iibPLdBw,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Developmental Math
Dividing Whole Numbers and Applications 2,chWcaZSLmHE,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Developmental Math
Dividing Whole Numbers and Applications 3,qoDJwyyD_pg,CC.4.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,Developmental Math
Equivalent Fractions,U2ovEuEUxXQ,CC.4.NF.1,Number and Operations--Fractions,Extend understanding of fraction equivalence and ordering.,4,Developmental Math
,#N/A,CC.4.NF.2,Number and Operations--Fractions,Extend understanding of fraction equivalence and ordering.,4,
,#N/A,CC.4.NF.3,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,
Adding fractions with different signs,QS1LMomm0Gk,CC.4.NF.3.a,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Fractions with Like Denominators,EJjnEau6aeI,CC.4.NF.3.a,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding and subtracting fractions,52ZlXsFJULI,CC.4.NF.3.a,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding fractions with different signs,QS1LMomm0Gk,CC.4.NF.3.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Fractions with Like Denominators,EJjnEau6aeI,CC.4.NF.3.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Mixed Numbers,4TBVB4hLQhY,CC.4.NF.3.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Mixed Numbers Word Problem,o0arqcKC7QE,CC.4.NF.3.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding and subtracting fractions,52ZlXsFJULI,CC.4.NF.3.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding fractions with different signs,QS1LMomm0Gk,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Fractions with Like Denominators,EJjnEau6aeI,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Converting Mixed Numbers to Improper Fractions,#NAME?,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Changing an Improper Fraction to a Mixed Number,8JyPzTeA_8w,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Subtracting Mixed Numbers,WF7L2waDwLw,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Subtracting Mixed Numbers 2,4LYtLMmDuzw,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Subtracting Mixed Numbers Word Problem,tj9oLZYA-AQ,CC.4.NF.3.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Fractions with Like Denominators,EJjnEau6aeI,CC.4.NF.3.d,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Mixed Numbers,4TBVB4hLQhY,CC.4.NF.3.d,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding Mixed Numbers Word Problem,o0arqcKC7QE,CC.4.NF.3.d,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Adding and subtracting fractions,52ZlXsFJULI,CC.4.NF.3.d,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Multiplying real number application,BdDkQJ0rolc,CC.4.NF.4,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Multiplying negative real numbers,4ve7OaCnDLs,CC.4.NF.4,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
Proper and Improper Fractions,2h8XiqSnzaU,CC.4.NF.4.a,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,Developmental Math
,#N/A,CC.4.NF.4.b,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,
,#N/A,CC.4.NF.4.c,Number and Operations--Fractions,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,
,#N/A,CC.4.NF.5,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,
Converting Fractions to Decimals,Gn2pdkvdbGQ,CC.4.NF.6,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,Arithmetic
Decimals and Fractions,NzIoHQfStoM,CC.4.NF.6,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,Developmental Math
Points on a number line,uC09taczvOo,CC.4.NF.6,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,Developmental Math
"Representing a number as a decimal, percent, and fraction",#NAME?,CC.4.NF.6,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,Developmental Math
Comparing Decimals,HCC96awA-FM,CC.4.NF.7,Number and Operations--Fractions,"Understand decimal notation for fractions, and compare decimal fractions.",4,Developmental Math
,#N/A,CC.4.OA.1,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,
Multiplying real number application,BdDkQJ0rolc,CC.4.OA.2,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Division 2,8Ft5iHhauJ0,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Arithmetic
Division 3: More long division and remainder examples,NcADzGz3bSI,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Arithmetic
Dividing Whole Numbers and Applications 6,SQ523h4CTMM,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Dividing Whole Numbers and Applications 2,chWcaZSLmHE,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Multiplying Whole Numbers and Applications 4,tx2Niw7aJJ8,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Rounding to Estimate Sums 2,j21X53Rwqt4,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Rounding to Estimate Differences,XBarsXzUtuE,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Rounding to Estimate Sums,lNfZQNWZklI,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
Rounding Whole Numbers 1,_qzs1zozTBo,CC.4.OA.3,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,4,Developmental Math
